대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,9,A,거미가 스페셜 MC로 출연해서 더 기대됐었는데,
,,,,,,,,,,,,10,B,거미는 남편과 딸에 대한 이야기도 나눠줬다던데,
,,,,,,,,,,,,11,A,너무 애정 넘치는 부부인 것 같아,
,,,,,,,,,,,,12,B,거미는 딸의 목청도 좋다고 했어,
,,,,,,,,,,,,13,A,아기 목청이 좋다니까 귀엽겠다,
,,,,,,,,,,,,14,B,마좌 거미가 부르면 따라한다더라고,마좌
,,,,,,,,,,,,15,A,애기 때 사진도 아빠 닮았다고 했는데 귀엽겠다,
,,,,,,,,,,,,16,B,거미가 둘째 계획에 대해 웃었던 것 같아,
077863,0090,남자,30,0158,여자,30,,,,콘텐츠 소비,"르세라핌, 이기광, 솔로앨범",1,A,와 이기광 첫 솔로앨범 프레데터 발매 소식 들음?,
,,,,,,,,,,,,2,B,응! 르세라핌도 정규앨범 언포기븐 발매한다더라,
,,,,,,,,,,,,3,A,렬루다가? 언제 발매해?,렬루다가
,,,,,,,,,,,,4,B,5월 1일이래. 르세라핌은 이미 슬로건 필름 영상을 공개했어,
,,,,,,,,,,,,5,A,슬로건 필름 영상이 어떤 내용이야?,
,,,,,,,,,,,,6,B,혼자 하면 방황이지만 같이하면 모험이 된다고 해,
,,,,,,,,,,,,7,A,와 멋있는 말이네. 이기광 솔로앨범은 언제 나와?,
,,,,,,,,,,,,8,B,이기광은 오는 5월1일에 발매할 거래,
,,,,,,,,,,,,9,A,프레데터라는 앨범명도 멋있는데,
,,,,,,,,,,,,10,B,그래! 기대되는데 어떤 늬낌일지 궁금해,늬낌
,,,,,,,,,,,,11,A,나도 그래. 이번에는 르세라핌과 이기광 둘 다 응원할래,
,,,,,,,,,,,,12,B,나도 그래! 둘 다 ㅎㅇㅌ,
,,,,,,,,,,,,13,A,언제부터 팬이었어?,
,,,,,,,,,,,,14,B,르세라핌은 데뷔 1주년이래. 이기광은 오랜 팬이야,
,,,,,,,,,,,,15,A,와 머박이네. 둘 다 응원할게,머박
,,,,,,,,,,,,16,B,나도 그래! 같이 응원하자,
078065,0090,남자,30,0160,여자,30,,,,콘텐츠 소비,그리스 로마 신화,1,A,설민석 그리스 로마 신화에 대해 이야기해봐,
,,,,,,,,,,,,2,B,그로신 프로그램이 재미있을 것 같아,
,,,,,,,,,,,,3,A,"응, 그로신은 신화 이야기를 통해 깨달음을 주는 내용이야",
,,,,,,,,,,,,4,B,그래? 그러면 신화에서 어떤 깨달음을 얻을 수 있을까?,
,,,,,,,,,,,,5,A,"예를 들면, 신화 속에는 지혜로운 결정을 내리는 방법이 담겨있어",
,,,,,,,,,,,,6,B,글쿠나. 그러면 신화에서 얻은 깨달음을 현실에 적용할 수 있을까?,글쿠나
,,,,,,,,,,,,7,A,"응, 신화에서 배운 교훈을 현실에서 적용하면 더 스마트한 삶을 살 수 있을 거야",
,,,,,,,,,,,,8,B,그럼 나도 그로신을 보고 깨달음을 얻어봐야겠어,
,,,,,,,,,,,,9,A,"응, 그러면 같이 그로신을 보면서 깨달음을 나눠보자",
,,,,,,,,,,,,10,B,굿굿! 그로신을 보면서 같이 깨달음을 나눠보자,
,,,,,,,,,,,,11,A,"한가인, 설민석, 김헌, 한젬마가 MC로 나와서 천상의 호흡을 보여줄 거야",
,,,,,,,,,,,,12,B,와 그러면 더 기대가 되는구나,
,,,,,,,,,,,,13,A,그로신은 10월 1일에 첫 방송이야,
,,,,,,,,,,,,14,B,일주일 남았옹 기다릴게,
,,,,,,,,,,,,15,A,그동안 다른 그리스 로마 신화를 읽어보면 좋을 것 같아,
,,,,,,,,,,,,16,B,웅웅 그로신을 보기 전에 신화에 대해 더 알아봐야겠어,
132813,0096,여자,30,0117,남자,30,,,,콘텐츠 소비,마스크걸,1,A,오늘 마스크걸 본 사람 있어?,
,,,,,,,,,,,,2,B,나! 너무 재밌던데 ㅋㅋ,
,,,,,,,,,,,,3,A,짜짜? 나도 오늘 봤는데 너무 웃겨서 소리 질러버렸어 ㅋㅋㅋ,짜짜
,,,,,,,,,,,,4,B,맞아ㅋㅋ 특히 고현정 연기 너무 웃겼어,
,,,,,,,,,,,,5,A,고현정 연기는 항상 웃기지 ㅋㅋㅋ,
,,,,,,,,,,,,6,B,그래도 이번에는 더 웃겼어 ㅋㅋㅋ,
,,,,,,,,,,,,7,A,맞아ㅋㅋ 그리고 이한별도 연기 잘했던 거 같아,
,,,,,,,,,,,,8,B,응! 이한별은 신인 배우인데도 뛰어난 연기 실력이었어,
,,,,,,,,,,,,9,A,맞아ㅋㅋ 그리고 이한별 연기 전과 후의 변화도 눈에 띄더라,
,,,,,,,,,,,,10,B,응! 성형 전과 후의 모습이 렬루 대비되는 거 같았어,렬루
,,,,,,,,,,,,11,A,그리고 교도소에서 10년을 산 후의 모습도 짜짜 충격이었어,짜짜
,,,,,,,,,,,,12,B,맞아ㅋㅋ 근데 이한별이랑 고현정이 만났을 때의 반응이 웃겼어,
,,,,,,,,,,,,13,A,나도 그 부분에서 너무 웃었어 ㅋㅋㅋ,
,,,,,,,,,,,,14,B,고현정이 이한별을 보자마자 모미구나하고 감탄했더라고,
,,,,,,,,,,,,15,A,그리고 첨부터 포옹으로 감정을 나눴다고 해서 더 웃겼어,
,,,,,,,,,,,,16,B,고현정이 너무 고생했다라고 무작정 건넨 말도 좋았어,
195737,0000,남자,10,0000,남자,10,,,,콘텐츠 소비,스트릿 우먼 파이터2,1,A,스트릿 우먼 파이터2 봤어?,
,,,,,,,,,,,,2,B,"응, 본 적 있어! 렬루 재미있던데ㅋ",렬루
,,,,,,,,,,,,3,A,맞아ㅋㅋ 특히 싸움 구경이 짜짜 신나더라,짜짜
,,,,,,,,,,,,4,B,그치! 출연진들의 싸움은 엄청난 스릴이야,
,,,,,,,,,,,,5,A,맞아ㅎㅎ 틀때마다 나오는 수도꼭지처럼 대세야,
,,,,,,,,,,,,6,B,그런데 스우파2는 더 싸움을 강조하는 것 같더라,
,,,,,,,,,,,,7,A,맞아 센 언니들의 대결이 많이 부각되었지,
,,,,,,,,,,,,8,B,근데 나는 그 대결 너머에 있는 것에 주목하고 싶어,
,,,,,,,,,,,,9,A,마좌 대결 이외의 이야기들도 흥미로운데,마좌
,,,,,,,,,,,,10,B,"매주 화요일에 방영되는 거 같더라, 시간 나면 봐야겠다",
,,,,,,,,,,,,11,A,"나도 그러려고 하는데, 스우파2 보는 건 레알루다가 재밌을 것 같아",레알
,,,,,,,,,,,,12,B,그러면 같이 봐야겠다! 댄스도 멋지고 대결도 짜릿하니까,
,,,,,,,,,,,,13,A,"응, 그래야지! 언제부터 볼 거야?",
,,,,,,,,,,,,14,B,"다음 화요일에 봐야지, 그러면 같이 보자!",
,,,,,,,,,,,,15,A,굿굿! 그러면 다음 화요일에 만나자,
,,,,,,,,,,,,16,B,"알았어, 다음 화요일에 뵈어!",
178444,0000,남자,10,0000,남자,10,,,,콘텐츠 소비,최백호,1,A,와 이번에 최백호가 산문집을 내더라,
,,,,,,,,,,,,2,B,짜짜? 난 최백호의 노래를 좋아해,짜짜
,,,,,,,,,,,,3,A,그래? 나는 그 사람의 글도 좋아해,
,,,,,,,,,,,,4,B,그러면 산문집은 어떰? 추천해줄만한가?,
,,,,,,,,,,,,5,A,"나는 아직 안읽어봤는데, 근데 리뷰들이 좋더라",
,,,,,,,,,,,,6,B,그러면 알아볼까? 가격은 얼마인가?,
,,,,,,,,,,,,7,A,알아보자. 산문집은 보통 비싸던데,
,,,,,,,,,,,,8,B,그래도 최백호니까 괜찮지 않을까?,
,,,,,,,,,,,,9,A,"그렇긴 한데, 아무래도 기다려봐야겠어",
,,,,,,,,,,,,10,B,글쿠나. 기다리는 동안 최백호 노래를 들으면서 기다려야지,글쿠나
,,,,,,,,,,,,11,A,그래야지! 그러면 같이 들으면서 기다리자,
,,,,,,,,,,,,12,B,"굿굿! 그러면 말해줘, 최백호의 어떤 노래가 좋아?",
,,,,,,,,,,,,13,A,음.. 낭만 고양이가 제일 좋아,냥이;고냥이
,,,,,,,,,,,,14,B,낭만 냥이! 알겠어. 그 노래 기다리면서 들어볼게,냥이
,,,,,,,,,,,,15,A,그래! 너도 좋아할 거야,
,,,,,,,,,,,,16,B,기대해볼게! 최백호의 산문집도 기대하고 있어,
112397,0083,남자,20,0149,여자,20,,,,콘텐츠 소비,돌싱글즈4,1,A,와 돌싱글즈4 너무 재밌어!,
,,,,,,,,,,,,2,B,응! 나도 매주 기다려!,
,,,,,,,,,,,,3,A,소라 언제부터 이혼을 생각하게 됐을까?,
,,,,,,,,,,,,4,B,소라가 시험관 실패 후에 결심했다고 했어,
,,,,,,,,,,,,5,A,아들이 소라를 달래주는 모습을 보고 결심했다는구나,
,,,,,,,,,,,,6,B,그래서 소라가 아들을 공개했대,
,,,,,,,,,,,,7,A,아들이 너무 ㄱㅇㅇ!,ㄱㅇㅇ
,,,,,,,,,,,,8,B,그래! 4살이라니까!,
,,,,,,,,,,,,9,A,소라가 시험관 아기를 하고 있었단 말이야?,
,,,,,,,,,,,,10,B,"응, 근데 시험관 시술이 안 됐대",
,,,,,,,,,,,,11,A,그래서 전 남편이 소라한테 소리를 질렀다고?,
,,,,,,,,,,,,12,B,마좌 그래서 소라가 화가 났대,마좌
,,,,,,,,,,,,13,A,아이가 엄마를 위해 욕먹고 있다는 걸 느꼈나봐,
,,,,,,,,,,,,14,B,근데 아이가 엄마한테 뽀뽀해준 걸 보고 결심했다고 해,
,,,,,,,,,,,,15,A,아이의 작은 입으로 뽀뽀를 해주는 건 레알 감동적이지,레알
,,,,,,,,,,,,16,B,근데 소라가 이혼을 결심한 건 어쩌면 좋을까?,
193922,0000,남자,10,0000,남자,10,,,,콘텐츠 소비,킹스맨,1,A,와 이번에 킹스맨 시리즈의 프리퀄 영화가 나온대,
,,,,,,,,,,,,2,B,레알? 언제 개봉하냐?,레알
,,,,,,,,,,,,3,A,9월에 개봉한다고 해,
,,,,,,,,,,,,4,B,오 킹갓인데! 예고편 봄?,킹갓
,,,,,,,,,,,,5,A,"응, 메인 예고편도 공개됐어",
,,,,,,,,,,,,6,B,어떤 내용이야? 엄청 멋진가?,
,,,,,,,,,,,,7,A,영화 속에서 킹스맨의 탄생과 세계대전 배경이 나오더라고,
,,,,,,,,,,,,8,B,와 대박이네! 특효 풀리면서 화면이 화염에 뒤덮이는 장면은 짜짜 스케일이 대단하게 보였어!,대박;짜짜
,,,,,,,,,,,,9,A,매튜 본 감독이 상상력과 연출을 엄청 기대하게 해,
,,,,,,,,,,,,10,B,그러게 말이야! 이번 영화가 기대된다!,
,,,,,,,,,,,,11,A,이번에는 킹스맨 시리즈에서 보지 못했던 멤버들의 조합도 눈길을 끌었어,
,,,,,,,,,,,,12,B,ㄹㅇ? 어떤 멤버들이 나왔어?,ㄹㅇ
,,,,,,,,,,,,13,A,"랄프 파인즈, 해리스 딕킨슨, 젬마 아터튼, 디몬 하운수, 리스 이판까지!",
,,,,,,,,,,,,14,B,와 이번에는 레알 다채로운 멤버들이 나왔네!,레알
,,,,,,,,,,,,15,A,그래! 이번 영화는 액션과 스케일 면에서 박박 날 것 같아,박박
,,,,,,,,,,,,16,B,응! 기대할게! 꼭 보러 가야겠어!,
132328,0095,여자,30,0119,남자,30,,,,콘텐츠 소비,강철부대3,1,A,강철부대3 예고 영상 봤어?,
,,,,,,,,,,,,2,B,"응, 짜짜 멋지더라 ㅋㅋ",짜짜
,,,,,,,,,,,,3,A,하이라이트 티저가 머박이야,머박
,,,,,,,,,,,,4,B,레알 머박이다 ㅎㅎ,머박;레알
,,,,,,,,,,,,5,A,시즌3에서 우승하는 팀이 진짜 우승하는 팀이라더라,
,,,,,,,,,,,,6,B,와우내 그러면 더 기대되겠다,와우내
,,,,,,,,,,,,7,A,정종현도 시즌3에서 업그레이드 된 활약상을 기대하더라,
,,,,,,,,,,,,8,B,정종현은 짜짜 레게노다,레게노;짜짜
,,,,,,,,,,,,9,A,시즌3에서 어떤 광경이 펼쳐질지 상상도 못해,
,,,,,,,,,,,,10,B,나도 궁금하다 ㅋㅋ,
,,,,,,,,,,,,11,A,이번 시즌은 올 타임 최강자전이라더라,
,,,,,,,,,,,,12,B,진짜 대결이 대박일 것 같다,대박
,,,,,,,,,,,,13,A,강철부대 난 시즌을 뒤엎는 최강자들의 대결이라더라,
,,,,,,,,,,,,14,B,와 그러면 레알 대박이겠다,대박;레알
,,,,,,,,,,,,15,A,19일에 첫 방송이래,
,,,,,,,,,,,,16,B,기다려지네 ㅎㅎ,
121183,0088,여자,30,0117,남자,30,,,,콘텐츠 소비,블랙핑크,1,A,블랙핑크 콘서트 머박이다!,머박
,,,,,,,,,,,,2,B,응응! 블랙핑크 레알 인기 많아!,레알
,,,,,,,,,,,,3,A,이번 콘서트에서 무슨 노래 부를까?,
,,,,,,,,,,,,4,B,아마도 히트곡들을 부를 것 같아!,
,,,,,,,,,,,,5,A,레알 기대되는데 ㅋㅋ,레알
,,,,,,,,,,,,6,B,나도 너무 기대돼서 못 참겠어 ㅠㅠ,
,,,,,,,,,,,,7,A,티켓은 언제 예약할 수 있을까?,
,,,,,,,,,,,,8,B,15일부터 사전 예약 이벤트로 무료로 받을 수 있대!,
,,,,,,,,,,,,9,A,와 짜짜? 그러면 꼭 예약해야겠다!,짜짜
,,,,,,,,,,,,10,B,응응! 나도 예약 꼭 할 거야!,
,,,,,,,,,,,,11,A,콘서트 응원 이벤트도 진행된다던데,
,,,,,,,,,,,,12,B,응응! 우리도 열심히 응원해야지!,
,,,,,,,,,,,,13,A,블랙핑크 인게임 아이템도 출시된대!,
,,,,,,,,,,,,14,B,짜짜? 멤버들의 의상도 볼 수 있을까?,짜짜
,,,,,,,,,,,,15,A,응! 실제 무대에서 착용한 복장을 모티브로 한 의상 아이템이라고!,
,,,,,,,,,,,,16,B,와 머박이다! 꼭 가서 확인해야겠어!,머박
203411,0001,남자,20,0146,여자,20,,,,콘텐츠 소비,혈전용해제,1,A,아 짜짜 오늘 수업 너무 지루해 ㅠㅠ,짜짜
,,,,,,,,,,,,2,B,나도 그래 ㅋㅋ 언제 끝날까,
,,,,,,,,,,,,3,A,그래도 중학교 때는 오줌통이 더 이상했잖아,
,,,,,,,,,,,,4,B,오줌통? 뭔 소리야? ㅋㅋ,
,,,,,,,,,,,,5,A,맞아 1979년에는 어린이들이 화장실에 오줌을 담는 통이 있었어,
,,,,,,,,,,,,6,B,레알? 왜 그랬어?,레알
,,,,,,,,,,,,7,A,나도 모르겠어 ㅋㅋ 걍 그 때 그랬던거야,
,,,,,,,,,,,,8,B,그래도 이젠 혈전용해제 주사가 있다더라,
,,,,,,,,,,,,9,A,혈전용해제 주사? 그게 ㅁㅇ?,ㅁㅇ
,,,,,,,,,,,,10,B,혈관에 막힌 혈전을 녹여버리는 약이야,
,,,,,,,,,,,,11,A,와 머박! 그러면 뇌경색 환자에게 쓰는 거지?,머박
,,,,,,,,,,,,12,B,맞아! 급성 뇌경색 환자에게 쓰면 좋대,
,,,,,,,,,,,,13,A,가족들이 환자를 빨리 병원으로 모셨다면 골든타임 안에 주사를 쓸 수 있겠네,
,,,,,,,,,,,,14,B,그래! 그러면 혈전을 없애고 혈관을 다시 흐르게 할 수 있어,
,,,,,,,,,,,,15,A,짜짜 대단한 발명품인 것 같아,짜짜
,,,,,,,,,,,,16,B,그렇지! 과학 기술 발전은 진심 대단해!,
166472,0094,여자,30,0111,남자,30,,,,콘텐츠 소비,아나운싱과 스피치,1,A,아나운싱과 스피치 책을 읽었어?,
,,,,,,,,,,,,2,B,읽었지! 말하기 능력을 키우는데 도움이 돼!,
,,,,,,,,,,,,3,A,말하기가 중요해진 이유가 뭘까?,
,,,,,,,,,,,,4,B,"비대면 회의와 유튜브, 라이브 커머스 때문이야",
,,,,,,,,,,,,5,A,말하기를 향상시키려면 어떻게 해야 할까?,
,,,,,,,,,,,,6,B,"발음과 발성, 전달의 기술을 연습해야 해",
,,,,,,,,,,,,7,A,말하기 연습을 어디서 할 수 있을까?,
,,,,,,,,,,,,8,B,학교나 직장에서 발표 연습을 해보는 건 ㅇㄸ?,ㅇㄸ
,,,,,,,,,,,,9,A,발표할 때 어떤 실수를 자주 하는 거 같아?,
,,,,,,,,,,,,10,B,마이크 잡는 요령이나 발표 속도를 조절하는 게 어려워,
,,,,,,,,,,,,11,A,발표자의 자세도 중요한 거 같아,
,,,,,,,,,,,,12,B,맞아 흐트러진 자세나 호흡도 신경 써야 해,
,,,,,,,,,,,,13,A,발표를 멋지게 하려면 팁이 있을까?,
,,,,,,,,,,,,14,B,청중과의 눈 맞춤이나 몸동작을 연습해보는 건 ㅇㄸ?,ㅇㄸ
,,,,,,,,,,,,15,A,그러면 발표를 잘하기 위해 얼마나 연습해야 할까?,
,,,,,,,,,,,,16,B,약간의 팁만 얻고 훈련을 하면 멋진 발표가 될 수 있어!,
042655,0090,남자,30,0155,여자,30,,,,콘텐츠 소비,"엔터테인먼트, 에이전시",1,A,ㅎㅇ~ 오늘 뉴스 봤어?,ㅎㅇ
,,,,,,,,,,,,2,B,응! 뭐가 있었어?,
,,,,,,,,,,,,3,A,엔터테인먼트 에이전시끼리 인수합병한 거 알아?,
,,,,,,,,,,,,4,B,어떤 에이전시끼리인데?,
,,,,,,,,,,,,5,A,크리에이티브아티스트에이전시와 ICM파트너스래!,
,,,,,,,,,,,,6,B,아! 그거 들었어. 세계 최고의 엔터테인먼트 에이전시라던데.,
,,,,,,,,,,,,7,A,맞아! 그래서 더 큰 기회를 제공할 거래.,
,,,,,,,,,,,,8,B,진짜 레게노네. 세계 정상급 고객들에게 많은 기회를 줄 수 있을 것 같아.,레게노
,,,,,,,,,,,,9,A,그래! 그리고 ICM은 출판 사업과 강연 사업도 하고 있어.,
,,,,,,,,,,,,10,B,ICM은 다양한 분야에서 활동하는구나.,
,,,,,,,,,,,,11,A,맞아! 그래서 이번 합병으로 좀 더 깊고 넓은 기회를 제공할 거래.,
,,,,,,,,,,,,12,B,그럼 클라이언트들도 많은 혜택을 받을 수 있겠다.,
,,,,,,,,,,,,13,A,그렇지! CAA는 전 세계에 지사를 두고 있어.,
,,,,,,,,,,,,14,B,짜짜 글로벌 기업이네. 레게노다!,레게노;짜짜
,,,,,,,,,,,,15,A,"맞아! 그래서 영화, TV, 음악, 스포츠 등 다양한 분야에서 활동하고 있어.",
,,,,,,,,,,,,16,B,와 엔터테인먼트 분야에서 렬루 다양한 일을 하는구나.,렬루
069312,0084,남자,20,0144,여자,20,,,,콘텐츠 소비,오징어게임,1,A,오징어게임 레알루다가 재밌어!,레알
,,,,,,,,,,,,2,B,응! 나도 오늘 다 본 거야,
,,,,,,,,,,,,3,A,오징어게임 주인공 너무 멋있지 않아?,
,,,,,,,,,,,,4,B,그래! 특히 001번 캐릭터가 최고야,
,,,,,,,,,,,,5,A,맞아! 그리고 게임 아이디어도 신선하고,
,,,,,,,,,,,,6,B,오징어게임에서 나온 게임을 직접 해보고 싶다,
,,,,,,,,,,,,7,A,나도! 근데 상금은 없을 거야 ㅠㅠ,
,,,,,,,,,,,,8,B,그래도 재미있을 것 같아서 괜찮아!,
,,,,,,,,,,,,9,A,오징어게임이 여행·호텔 업계에 영향을 주고 있대,
,,,,,,,,,,,,10,B,레알? 어떻게?,레알
,,,,,,,,,,,,11,A,오징어게임과 관련된 홍보를 하고 있나봐,
,,,,,,,,,,,,12,B,글쿠나. 근데 좀 억지스러운 것 같기도 해,글쿠나
,,,,,,,,,,,,13,A,맞아. 어떤 마케팅은 짝퉁 어그로인 것 같아,
,,,,,,,,,,,,14,B,근데 오징어게임 향수 마케팅은 괜찮은 것 같아,
,,,,,,,,,,,,15,A,휘닉스 평창의 오징어 게임 캠핑 프로그램이 그거지?,
,,,,,,,,,,,,16,B,맞아! 오징어 갬성을 느낄 수 있는 코스래,갬성
199330,0001,남자,20,0145,여자,20,,,,콘텐츠 소비,드라마,1,A,저번에 본 드라마 어땠어?,
,,,,,,,,,,,,2,B,너무 재밌었어 ㅋㅋ,
,,,,,,,,,,,,3,A,어떤 드라마였어?,
,,,,,,,,,,,,4,B,소설을 원작으로 한 드라마였어,
,,,,,,,,,,,,5,A,그러면 원작 소설도 좋을 것 같아,
,,,,,,,,,,,,6,B,맞아! 소설도 꼭 읽어봐야 해,
,,,,,,,,,,,,7,A,너가 추천하는 소설이 있어?,
,,,,,,,,,,,,8,B,최근에 나온 유미의 세포들이 재밌더라,
,,,,,,,,,,,,9,A,유미의 세포들? 그게 머임?,
,,,,,,,,,,,,10,B,네이버 웹툰에서 인기있었던 거래,
,,,,,,,,,,,,11,A,그래? 어떤 이야기야?,
,,,,,,,,,,,,12,B,로맨스 드라마로 유명하고 애니메이션과 실사를 결합했대,
,,,,,,,,,,,,13,A,와 신선한 시도인데 꼭 봐야겠다,
,,,,,,,,,,,,14,B,배우들 연기도 좋더라,
,,,,,,,,,,,,15,A,김고은과 안보현이 출연하는 거지?,
,,,,,,,,,,,,16,B,마좌 그리고 최민호도 나온대,마좌
130414,0094,여자,30,0112,남자,30,,,,콘텐츠 소비,펜트하우스2,1,A,와 이번에 펜트하우스2 방송 시작됐다니 ㅋㅋ,
,,,,,,,,,,,,2,B,레알? 나도 보고 싶은데 시간이 없어서 못 봤어 ㅠㅠ,레알
,,,,,,,,,,,,3,A,시즌1도 재밌게 봤었는데 시즌2는 더 기대돼!,
,,,,,,,,,,,,4,B,시즌2에서는 어떤 이야기가 펼쳐질까 궁금하다,
,,,,,,,,,,,,5,A,시즌2에서는 복수와 악녀들의 이야기가 더 치열해진다고 해,
,,,,,,,,,,,,6,B,와 복수극이라니까 더 흥미진진하겠다,
,,,,,,,,,,,,7,A,그리고 시즌2의 티저 영상들도 엄청난 조회수를 기록했대,
,,,,,,,,,,,,8,B,시즌2의 분위기를 미리 느낄 수 있어서 좋겠다,
,,,,,,,,,,,,9,A,그래서 네 가지 관전 포인트도 공개했더라,
,,,,,,,,,,,,10,B,관전 포인트가 뭐냐? 궁금하다,
,,,,,,,,,,,,11,A,"일그러진 욕망으로 집값 1번지, 교육 1번지에서 벌이는 이야기래",
,,,,,,,,,,,,12,B,와 집값과 교육이라니까 현실적인 이야기인가봐,
,,,,,,,,,,,,13,A,그리고 시즌1 명장면 코멘터리 영상에서도 시즌2에 대한 힌트가 있었대,
,,,,,,,,,,,,14,B,시즌1 명장면도 다시 보고 싶어지네,
,,,,,,,,,,,,15,A,시즌2는 더 살벌해진 전쟁을 예고한대,
,,,,,,,,,,,,16,B,와 렬루 기대되는데 언제 볼 수 있을까?,렬루
207537,0001,남자,20,0144,여자,20,,,,콘텐츠 소비,"드라마, MBC",1,A,우리나라에는 선조들이 남긴 문화유산이 박박이야!,박박
,,,,,,,,,,,,2,B,응! 그 중에는 훈민정음 조선왕조실록도 있지?,
,,,,,,,,,,,,3,A,그래! 세계기록유산으로 등재되었어!,
,,,,,,,,,,,,4,B,세계에서도 인정받는 가치가 있는 거구나,
,,,,,,,,,,,,5,A,이런 오래된 기록물은 문화 상상력에 중요한 단서를 제공해,
,,,,,,,,,,,,6,B,짜짜 대단한 일이야!,짜짜
,,,,,,,,,,,,7,A,옷소매 붉은 끝동이라는 드라마도 머박이었어!,머박
,,,,,,,,,,,,8,B,정조와 의빈 성씨의 사랑을 그린 거지?,
,,,,,,,,,,,,9,A,맞아! 정조가 평생 한 여자만을 사랑했다는 이야기야,
,,,,,,,,,,,,10,B,정조의 어제의빈묘지명에 힌트가 있다고 했던 거지?,
,,,,,,,,,,,,11,A,그렇지! 후궁의 죽음에 대한 기록이라더라,
,,,,,,,,,,,,12,B,그런 내용으로 새로운 문화 콘텐츠가 만들어진 거구나,
,,,,,,,,,,,,13,A,응! 사실과 상상력이 어우러진 거야,
,,,,,,,,,,,,14,B,레알루다가 흥미로운 이야기인 것 같아!,레알
,,,,,,,,,,,,15,A,우리나라의 문화 유산은 렬루 머단해!,렬루;머단하다
,,,,,,,,,,,,16,B,응! 우리도 더 많이 알아보고 지켜야겠어!,
222684,0001,남자,20,0141,여자,20,,,,콘텐츠 소비,이미테이션,1,A,이미테이션 보고 싶어!,
,,,,,,,,,,,,2,B,나도 이미테이션 기대해!,
,,,,,,,,,,,,3,A,이미테이션은 아이돌 드라마야,
,,,,,,,,,,,,4,B,그래! 거기에는 티파티도 나와!,
,,,,,,,,,,,,5,A,티파티 멤버들 연기도 잘하더라,
,,,,,,,,,,,,6,B,음악도 너무 좋아서 중독되겠어,
,,,,,,,,,,,,7,A,마좌 티파티 곡들은 계속 불러도 되겠다,마좌
,,,,,,,,,,,,8,B,지난주에 뮤직뱅크에서 티파티 무대 봄?,
,,,,,,,,,,,,9,A,응! 티파티 멤버들 무대 너무 멋있었지,
,,,,,,,,,,,,10,B,정지소랑 민서도 귀여웠어ㅋㅋ,
,,,,,,,,,,,,11,A,그래서 조회수도 많이 올랐다는 얘기야,
,,,,,,,,,,,,12,B,라리마와 스파클링도 기대돼!,
,,,,,,,,,,,,13,A,나도 그 영상들 기다려!,
,,,,,,,,,,,,14,B,이미테이션은 최근에 핫한 드라마야,
,,,,,,,,,,,,15,A,그래서 많은 사람들이 시청 중이래,
,,,,,,,,,,,,16,B,나도 그렇다고 들었어,
198666,0000,남자,10,0141,여자,20,,,,콘텐츠 소비,스물다섯 스물하나,1,A,스물다섯 스물하나 재밌어?,
,,,,,,,,,,,,2,B,나도 그거 봤어 ㅋㅋ,
,,,,,,,,,,,,3,A,짜짜? 어떤 장면이 제일 좋았어?,짜짜
,,,,,,,,,,,,4,B,아무래도 나희도랑 백이진의 만남이 뭔가 인상깊었어,
,,,,,,,,,,,,5,A,맞아! 그리고 그들의 성장 이야기도 좋았지,
,,,,,,,,,,,,6,B,그래도 IMF 사태 배경이라서 좀 안타까웠어,
,,,,,,,,,,,,7,A,그래도 그 시대를 잘 보여줘서 좋았던거 같아,
,,,,,,,,,,,,8,B,그렇네 ㅋㅋ 그리고 김태리 연기도 좋았어,
,,,,,,,,,,,,9,A,응! 그리고 로맨스도 귀여웠지?,
,,,,,,,,,,,,10,B,응! 썸타는 장면들이 너무 흥미로웠어,
,,,,,,,,,,,,11,A,그렇지! 그리고 음악도 좋았어,
,,,,,,,,,,,,12,B,맞아! OST도 인상깊었지,
,,,,,,,,,,,,13,A,그런데 결말은 어떻게 됐어?,
,,,,,,,,,,,,14,B,결말은 조금 아쉬웠어,
,,,,,,,,,,,,15,A,아쉬웠다고? 그런데 이야기는 꽤 잘 마무리 됐어?,
,,,,,,,,,,,,16,B,맞아! 전체적으로는 좋은 드라마였어,
197820,0000,남자,10,0149,여자,20,,,,콘텐츠 소비,한국영화,1,A,오늘은 한국영화에 대해 얘기해볼까?,
,,,,,,,,,,,,2,B,좋아! 최근에 개봉한 영화들이 재밌었어,
,,,,,,,,,,,,3,A,"나도 그 영화들을 봤는데, 신선한 이야기들이 많았지",
,,,,,,,,,,,,4,B,맞아 특히 '오마주'라는 영화는 성평등에 대해 이야기하고 있었어,
,,,,,,,,,,,,5,A,그 영화의 감독이 벡델리안 수상자인 신수원 감독이었지,
,,,,,,,,,,,,6,B,레알루다가 레게노다. 그런데 한국영화계에서 여성 작가들은 부족한 편이지 않을까?,레게노;레알;레게노
,,,,,,,,,,,,7,A,마좌 작가 부문 수상자인 정서경 작가가 그런 이야기를 했었어,마좌
,,,,,,,,,,,,8,B,정서경 작가는 한국 영화계에서 전문 시나리오 작가의 부재를 지적했지,
,,,,,,,,,,,,9,A,"응, 그래서 한국 영화계에서 여성 시나리오 작가들의 역할이 더욱 중요해진 것 같아",
